"Name","From","To","Ministers"
"The Hon Andrew Thomson",11/03/1996,09/10/1997,"Parliamentary Secretary to the Minister for Foreign Affairs"
"The Hon Andrew Thomson",09/10/1997,21/10/1998,"Minister Assisting the Prime Minister for the Sydney 2000 Games"
"The Hon Andrew Thomson",09/10/1997,21/10/1998,"Minister for Sport and Tourism"
"The Hon Anthony Albanese MP",03/12/2007,18/09/2013,"Leader of the House"
"The Hon Anthony Albanese MP",03/12/2007,14/09/2010,"Minister for Infrastructure, Transport, Regional Development and Local Government"
"The Hon Anthony Albanese MP",14/09/2010,01/07/2013,"Minister for Infrastructure and Transport"
"The Hon Anthony Albanese MP",25/03/2013,01/07/2013,"Minister for Regional Development and Local Government"
"The Hon Anthony Albanese MP",27/06/2013,18/09/2013,"Deputy Prime Minister"
"The Hon Anthony Albanese MP",01/07/2013,18/09/2013,"Minister for Broadband, Communications and the Digital Economy"
"The Hon Anthony Byrne MP",03/12/2007,14/09/2010,"Parliamentary Secretary to the Prime Minister"
"The Hon Anthony Byrne MP",25/02/2009,14/09/2010,"Parliamentary Secretary for Trade"
"The Hon Bernie Ripoll MP",05/03/2012,25/03/2013,"Parliamentary Secretary to the Treasurer"
"The Hon Bernie Ripoll MP",25/03/2013,18/09/2013,"Parliamentary Secretary for Small Business"
"The Hon Bill Shorten MP",03/12/2007,14/09/2010,"Parliamentary Secretary for Disabilities and Children's Services"
"The Hon Bill Shorten MP",25/02/2009,14/09/2010,"Parliamentary Secretary for Victorian Bushfire Reconstruction"
"The Hon Bill Shorten MP",14/09/2010,14/12/2011,"Assistant Treasurer"
"The Hon Bill Shorten MP",14/09/2010,18/09/2013,"Minister for Financial Services and Superannuation"
"The Hon Bill Shorten MP",14/12/2011,01/07/2013,"Minister for Employment and Workplace Relations"
"The Hon Bill Shorten MP",01/07/2013,18/09/2013,"Minister for Workplace Relations"
"The Hon Bill Shorten MP",01/07/2013,18/09/2013,"Minister for Education"
"The Hon Bob Baldwin MP",27/01/2006,03/12/2007,"Parliamentary Secretary to the Minister for Industry, Tourism and Resources"
"The Hon Bob Debus",03/12/2007,09/06/2009,"Minister for Home Affairs"
"The Hon Bob McMullan MP",03/12/2007,19/07/2010,"Parliamentary Secretary for International Development Assistance"
"The Hon Brendan O'Connor MP",03/12/2007,09/06/2009,"Minister for Employment Participation"
"The Hon Brendan O'Connor MP",09/06/2009,14/12/2011,"Minister for Home Affairs"
"The Hon Brendan O'Connor MP",14/09/2010,14/12/2011,"Minister for Justice"
"The Hon Brendan O'Connor MP",14/09/2010,14/12/2011,"Minister for Privacy and Freedom of Information"
"The Hon Brendan O'Connor MP",14/12/2011,05/03/2012,"Minister Assisting for School Education"
"The Hon Brendan O'Connor MP",14/12/2011,05/03/2012,"Minister for Human Services"
"The Hon Brendan O'Connor MP",05/03/2012,04/02/2013,"Minister for Emergency Management"
"The Hon Brendan O'Connor MP",05/03/2012,04/02/2013,"Minister for Homelessness"
"The Hon Brendan O'Connor MP",05/03/2012,04/02/2013,"Minister for Housing"
"The Hon Brendan O'Connor MP",04/02/2013,01/07/2013,"Minister for Immigration and Citizenship"
"The Hon Brendan O'Connor MP",01/07/2013,18/09/2013,"Minister for Employment, Skills and Training"
"The Hon Bronwyn Bishop",11/03/1996,21/10/1998,"Minister for Defence Industry, Science and Personnel"
"The Hon Bronwyn Bishop",21/10/1998,26/11/2001,"Minister for Aged Care"
"The Hon Bruce Billson MP",18/07/2004,21/10/2004,"Parliamentary Secretary to the Minister for Foreign Affairs"
"The Hon Bruce Billson MP",22/10/2004,06/07/2005,"Parliamentary Secretary Foreign Affairs and Trade"
"The Hon Bruce Billson MP",06/07/2005,27/01/2006,"Parliamentary Secretary Foreign Affairs"
"The Hon Bruce Billson MP",06/07/2005,27/01/2006,"Parliamentary Secretary to the Minister for Immigration and Multicultural and Indigenous Affairs"
"The Hon Bruce Billson MP",27/01/2006,03/12/2007,"Minister Assisting the Minister for Defence"
"The Hon Bruce Billson MP",27/01/2006,03/12/2007,"Minister for Veterans' Affairs"
"The Hon Bruce Scott",11/03/1996,26/11/2001,"Minister for Veterans' Affairs"
"The Hon Bruce Scott",21/10/1998,26/11/2001,"Minister Assisting the Minister for Defence"
"Catherine King MP",14/09/2010,25/03/2013,"Parliamentary Secretary for Health and Ageing"
"Catherine King MP",14/09/2010,25/03/2013,"Parliamentary Secretary for Infrastructure and Transport"
"Catherine King MP",25/03/2013,01/07/2013,"Minister for Regional Services, Local Communities and Territories"
"Catherine King MP",01/07/2013,18/09/2013,"Minister for Regional Australia, Local Government and Territories"
"Catherine King MP",25/03/2013,01/07/2013,"Minister for Road Safety"
"The Hon Charles Tuckey",21/10/1998,26/11/2001,"Minister Assisting the Prime Minister"
"The Hon Charles Tuckey",21/10/1998,26/11/2001,"Minister for Forestry and Conservation"
"The Hon Charles Tuckey",25/01/2002,07/10/2003,"Minister for Regional Services, Territories and Local Government"
"The Hon Chris Bowen MP",03/12/2007,09/06/2009,"Assistant Treasurer"
"The Hon Chris Bowen MP",03/12/2007,09/06/2009,"Minister for Competition Policy and Consumer Affairs"
"The Hon Chris Bowen MP",09/06/2009,14/09/2010,"Minister for Financial Services, Superannuation and Corporate Law"
"The Hon Chris Bowen MP",09/06/2009,14/09/2010,"Minister for Human Services"
"The Hon Chris Bowen MP",14/09/2010,04/02/2013,"Minister for Immigration and Citizenship"
"The Hon Chris Bowen MP",04/02/2013,25/03/2013,"Minister for Small Business"
"The Hon Chris Bowen MP",04/02/2013,25/03/2013,"Minister for Tertiary Education, Skills, Science and Research"
"The Hon Chris Bowen MP",27/06/2013,18/09/2013,"Treasurer"
"The Hon Chris Gallus",30/01/2001,26/11/2001,"Parliamentary Secretary to the Minister for Reconciliation and Aboriginal and Torres Strait Islander Affairs"
"The Hon Chris Gallus",26/11/2001,18/07/2004,"Parliamentary Secretary to the Minister for Foreign Affairs"
"The Hon Chris Miles",11/03/1996,21/10/1998,"Parliamentary Secretary to the Prime Minister"
"The Hon Chris Pearce MP",22/10/2004,03/12/2007,"Parliamentary Secretary to the Treasurer"
"The Hon Christopher Pyne MP",07/10/2003,21/10/2004,"Parliamentary Secretary to the Minister for Family and Community Services"
"The Hon Christopher Pyne MP",22/10/2004,30/01/2007,"Parliamentary Secretary to the Minister for Health and Ageing"
"The Hon Christopher Pyne MP",30/01/2007,21/03/2007,"Assistant Minister for Health and Ageing"
"The Hon Christopher Pyne MP",21/03/2007,03/12/2007,"Minister for Ageing"
"The Hon Craig Emerson MP",03/12/2007,14/09/2010,"Minister Assisting the Finance Minister on Deregulation"
"The Hon Craig Emerson MP",03/12/2007,14/09/2010,"Minister for Small Business, Independent Contractors and the Service Economy"
"The Hon Craig Emerson MP",09/06/2009,14/09/2010,"Minister for Competition Policy and Consumer Affairs"
"The Hon Craig Emerson MP",14/09/2010,05/03/2012,"Minister for Trade"
"The Hon Danna Vale",26/11/2001,07/10/2003,"Minister Assisting the Minister for Defence"
"The Hon Danna Vale",26/11/2001,21/10/2004,"Minister for Veterans' Affairs"
"The Hon Daryl Williams",11/03/1996,07/10/2003,"Attorney-General"
"The Hon Daryl Williams",11/03/1996,09/10/1997,"Minister for Justice"
"The Hon Daryl Williams",07/10/2003,18/07/2004,"Minister for Communications, Information Technology and the Arts"
"The Hon David Bradbury MP",14/09/2010,05/03/2012,"Parliamentary Secretary to the Treasurer"
"The Hon David Bradbury MP",05/03/2012,18/09/2013,"Assistant Treasurer "
"The Hon David Bradbury MP",05/03/2012,01/07/2013,"Minister Assisting for Deregulation"
"The Hon David Bradbury MP",01/07/2013,18/09/2013,"Minister for Competition Policy and Consumer Affairs, Deregulation, Financial Services and Superannuation"
"The Hon David Jull",11/03/1996,25/09/1997,"Minister for Administrative Services"
"The Hon De-Anne Kelly MP",07/10/2003,21/10/2004,"Parliamentary Secretary to the Minister for Trade"
"The Hon De-Anne Kelly MP",07/10/2003,21/10/2004,"Parliamentary Secretary to the Minister for Transport and Regional Services"
"The Hon De-Anne Kelly MP",22/10/2004,27/01/2006,"Minister for Veterans' Affairs and Minister Assisting the Minister for Defence"
"The Hon De-Anne Kelly MP",27/01/2006,29/09/2006,"Parliamentary Secretary Trade"
"The Hon De-Anne Kelly MP",29/09/2006,03/12/2007,"Parliamentary Secretary to the Minister for Transport and Regional Services"
"The Hon Dr Brendan Nelson MP",30/01/2001,26/11/2001,"Parliamentary Secretary to the Minister for Defence"
"The Hon Dr Brendan Nelson MP",26/11/2001,27/01/2006,"Minister for Education, Science and Training"
"The Hon Dr Brendan Nelson MP",27/01/2006,03/12/2007,"Minister for Defence"
"The Hon Dr Craig Emerson MP",03/03/2011,05/03/2012,"Minister for Trade"
"The Hon Dr Craig Emerson MP",05/03/2012,26/06/2013,"Minister for Trade and Competitiveness"
"The Hon Dr Craig Emerson MP",28/10/2012,26/06/2013,"Minister Assisting the Prime Minister on Asian Century Policy"
"The Hon Dr Craig Emerson MP",25/03/2013,26/06/2013,"Minister for Tertiary Education, Skills, Science and Research."
"The Hon Dr David Kemp",11/03/1996,09/10/1997,"Minister Assisting the Minister for Finance for Privatisation"
"The Hon Dr David Kemp",11/03/1996,09/10/1997,"Minister for Schools, Vocational Education and Training"
"The Hon Dr David Kemp",09/10/1997,26/11/2001,"Minister Assisting the Prime Minister for the Public Service"
"The Hon Dr David Kemp",09/10/1997,21/10/1998,"Minister for Employment, Education, Training and Youth Affairs"
"The Hon Dr David Kemp",21/10/1998,26/11/2001,"Minister for Education, Training and Youth Affairs"
"The Hon Dr David Kemp",21/10/1998,18/07/2004,"Vice-President of the Executive Council"
"The Hon Dr David Kemp",26/11/2001,18/07/2004,"Minister for the Environment and Heritage"
"The Hon Dr Michael Wooldridge",11/03/1996,21/10/1998,"Minister for Health and Family Services"
"The Hon Dr Michael Wooldridge",21/10/1998,26/11/2001,"Minister for Health and Aged Care"
"The Hon Dr Sharman Stone MP",30/01/2001,21/10/2004,"Parliamentary Secretary to the Minister for the Environment and Heritage"
"The Hon Dr Sharman Stone MP",22/10/2004,27/01/2006,"Parliamentary Secretary to the Minister for Finance and Administration"
"The Hon Dr Sharman Stone MP",27/01/2006,03/12/2007,"Minister for Workforce Participation"
"The Hon Duncan Kerr MP",03/12/2007,14/12/2009,"Parliamentary Secretary for Pacific Island Affairs"
"The Hon Fran Bailey MP",26/11/2001,18/07/2004,"Parliamentary Secretary to the Minister for Defence"
"The Hon Fran Bailey MP",18/07/2004,21/10/2004,"Minister Assisting the Minister for Defence"
"The Hon Fran Bailey MP",18/07/2004,21/10/2004,"Minister for Employment Services"
"The Hon Fran Bailey MP",22/10/2004,03/12/2007,"Minister for Small Business and Tourism"
"The Hon Gary Gray AO MP",03/12/2007,09/06/2009,"Parliamentary Secretary for Regional Development and Northern Australia"
"The Hon Gary Gray AO MP",09/06/2009,14/09/2010,"Parliamentary Secretary for Western and Northern Australia"
"The Hon Gary Gray AO MP",14/09/2010,25/03/2013,"Minister for the Public Service and Integrity"
