Senator Marise Payne,03/03/2011,19/09/2012,Shadow Minister for Indigenous Development and Employment
Senator Marise Payne,03/03/2011,19/09/2012,Shadow Minister for COAG
Senator Marise Payne,03/03/2011,19/09/2012,Shadow Minister for Housing
Senator the Hon Brett Mason,03/03/2011,19/09/2012,Shadow Minister for Universities and Research
Mr Luke Hartsuyker MP,03/03/2011,19/09/2012,Shadow Minister for Youth and Sport
Mr Luke Hartsuyker MP,03/03/2011,19/09/2012,Shadow Minister for Regional Communications
Mr Luke Hartsuyker MP,03/03/2011,19/09/2012,Deputy Manager of Opposition Business in the House
Mr Michael Keenan MP,03/03/2011,19/09/2012,"Shadow Minister for Justice, Customs and Border Protection"
The Hon Bob Baldwin MP,03/03/2011,19/09/2012,Shadow Minister Regional Development
The Hon Bob Baldwin MP,03/03/2011,19/09/2012,Shadow Minister for Tourism
Senator Concetta Fierravanti-Wells,03/03/2011,19/09/2012,Shadow Minister for Ageing
Senator Concetta Fierravanti-Wells,03/03/2011,19/09/2012,Shadow Minister for Mental Health
Senator Mitch Fifield,03/03/2011,19/09/2012,"Shadow Minister for Disabilities, Carers and the Voluntary Sector"
Senator Mitch Fifield,03/03/2011,19/09/2012,Manager of Opposition Business in the Senate
Senator the Hon Ian Macdonald,03/03/2011,19/09/2012,Shadow Parliamentary Secretaries
Senator the Hon Ian Macdonald,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Northern and Remote Australia
Senator the Hon Ian Macdonald,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for the Defence Force and Defence Support
Dr Andrew Southcott MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Primary Healthcare
Senator Richard Colbeck,03/03/2011,19/09/2012,"Shadow Parliamentary Secretary for Innovation, Industry and Science"
Senator Richard Colbeck,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Fisheries and Forestry
Senator Cory Bernardi,03/03/2011,19/09/2012,Shadow Parliamentary Secretary Assisting the Leader of the Opposition
Senator Cory Bernardi,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Supporting Families
Mr Darren Chester MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Roads and Regional Transport
Senator Simon Birmingham,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for the Murray-Darling Basin
Senator Simon Birmingham,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for the Environment
The Hon Teresa Gambaro MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for International Development Assistance
The Hon Teresa Gambaro MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Citizenship and Settlement
Senator Gary Humphries,03/03/2011,19/09/2012,Shadow Parliamentary Secretary to the Shadow Attorney-General
Senator Gary Humphries,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Defence Materiel
Hon Tony Smith MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Tax Reform
Hon Tony Smith MP,03/03/2011,19/09/2012,"Deputy Chairman , Coalition Policy Development Committee"
Dr Andrew Laming MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Regional Health Services and Indigenous Health
