person count,title,last name,first name,middle name,nick name,post title
,,Hoare,Kelly,Joy,,
,,Hockey,Joseph,Benedict,,
,,Hodges,John,Charles,,
,,Hodgman,Michael,William,,
,,Hogg,John,Joseph,,
,,Holding,Allan,Clyde,,
,,Hollis,Colin,,,
,,Horne,Robert,Hodges,,
,,Howard,John,Winston,,
,,Howe,Brian,Leslie,,
,,Hull,Kay,Elizabeth,,
,,Hulls,Rob,Justin,,
,,Humphreys,Benjamin,Charles,,
,,Humphries,Gary,John Joseph ,,
,,Hunt,Gregory,Andrew,,
,,Hunt,Ralph,James Dunnet,,
,,Hurford,Christopher,John,,
,,Hurley,Annette,Kay,,
,,Hutchins,Stephen,Patrick,,
,,Hyde,John,Martin,,
,,Innes,Urquhart,Edward,,
,,Irons,Stephen,James,,
,,Irwin,Julia,Claire,,
,,Jackson,Sharryn,Maree,,
,,Jacobi,Ralph,,,
,,Jakobsen,Carolyn,Anne,,
,,James,Albert,William,,
,,Jarman,Alan,William,,
,,Jeanes,Susan,Barbara,,
,,Jenkins,Henry,Alfred,,
,,Jenkins,Harry,Alfred,,
,,Jenkins,Jean,Alice,,
,,Jensen,Dennis,Geoffrey,,
,,Jessop,Donald,Scott,,
,,Johns,Gary,Thomas,,
,,Johnson,Leonard,Keith,,
,,Johnson,Leslie,Royston,,
,,Johnson,Michael,Andrew,,
,,Johnson,Peter,Francis,,
,,Johnston,David,Albert Lloyd,,
,,Johnston,James,Roger,,
,,Johnston,Ricky,,,
,,Jones,Barry,Owen,,
,,Jones,Charles,Keith,,
,,Jones,Gerry,Norman,,
,,Joyce,Barnaby,Thomas Gerard,,
,,Jull,David,Francis,,
,,Katter,Robert,Carl,,
,,Katter,Robert,Cummin,,
,,Keating,Paul,John,,
,,Keeffe,James,Bernard,,
,,Keenan,Michael,Fayat,,
,,Kelly,De-anne,Margaret,,
,,Kelly,Jacqueline,Marie,Jackie,
,,Kelly,Michael,Joseph,,
,,Kelly,Roslyn,Joan,,
,,Kemp,Charles,Roderick,,
,,Kemp,David,Alistair,,
,,Kent,Lewis,,,
