member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
103,,Robert Leslie Chynoweth,Dunkley,Vic.,13.3.1993,,2.3.1996,defeated,ALP
104,,Robert Leslie Chynoweth,Flinders,Vic.,5.3.1983,,1.12.1984,elected_elsewhere,ALP
105,,Steven Michele Ciobo,Moncrieff,Qld,10.11.2001,,18.05.2019,retired,LIB
106,,Jason Dean Clare,Blaxland,NSW,24.11.2007,,,still_in_office,ALP
107,,Philip Ronald Cleary,Wills,Vic.,11.4.1992,by_election,25.11.1992,declared_void,IND
108,,Philip Ronald Cleary,Wills,Vic.,13.3.1993,,2.3.1996,defeated,IND
109,,Peter Robert Cleeland,McEwen,Vic.,1.12.1984,,24.3.1990,defeated,ALP
110,,Peter Robert Cleeland,McEwen,Vic.,13.3.1993,,2.3.1996,defeated,ALP
111,,John Kenneth Cobb,Calare,NSW,24.11.2007,,9.5.2016,retired,NP
112,,Michael Roy Cobb,Parkes,NSW,1.12.1984,,31.8.1998,retired,NPA
113,,Barry Cohen,Robertson,NSW,25.10.1969,,19.2.1990,retired,ALP
114,,William Peter Coleman,Wentworth,NSW,11.4.1981,by_election,5.6.1987,retired,LIB
115,,Julie Maree Collins,Franklin,Tas,24.11.2007,,,still_in_office,ALP
116,,Gregory Ivan Combet,Charlton,NSW,24.11.2007,,5.8.2013,resigned,ALP
117,,David Miles Connolly,Bradfield,NSW,18.5.1974,,29.1.1996,retired,LIB
118,,Bryan Joseph Conquest,Hinkler,Qld,1.12.1984,,11.7.1987,defeated,NPA
119,,James Corbett,Maranoa,Qld,26.11.1966,,19.9.1980,retired,NCP
120,,Ann Kathleen Corcoran,Isaacs,Vic.,12.8.2000,by_election,17.10.2007,retired,ALP
121,,Peter Howard Costello,Higgins,Vic.,24.3.1990,,19.10.2009,resigned,LIB
122,,John Francis Cotter,Kalgoorlie,WA,13.12.1975,,18.10.1980,defeated,LIB
123,,Mark Maclean Coulton,Parkes,NSW,24.11.2007,,30.8.2016,changed_party,Nats
124,,Brian William Courtice,Hinkler,Qld,11.7.1987,,13.3.1993,defeated,ALP
125,,David Bruce Cowan,Lyne,NSW,18.10.1980,,8.2.1993,retired,NPA
126,,David Alexander Cox,Kingston,SA,3.10.1998,,9.10.2004,defeated,ALP
127,,Mary Catherine Crawford,Forde,Qld,11.7.1987,,2.3.1996,defeated,ALP
128,,Simon Findlay Crean,Hotham,Vic.,24.3.1990,,5.8.2013,retired,ALP
130,,Janice Ann Crosio,Prospect,NSW,24.3.1990,,31.8.2004,retired,ALP
131,,Barry Thomas Cunningham,McMillan,Vic.,18.10.1980,,24.3.1990,defeated,ALP
132,,Barry Thomas Cunningham,McMillan,Vic.,13.3.1993,,2.3.1996,defeated,ALP
133,,Yvette Maree D'Ath,Petrie,Qld,24.11.2007,,7.9.2013,defeated,ALP
134,,Michael David Danby,Melbourne Ports,Vic.,3.10.1998,,18.05.2019,retired,ALP
135,,Steven John Dargavel,Fraser,ACT,1.2.1997,by_election,31.8.1998,retired,ALP
136,,John Sydney Dawkins,Fremantle,WA,10.12.1977,,4.2.1994,resigned,ALP
137,,Elaine Elizabeth Darling,Lilley,Qld,18.10.1980,,8.2.1993,retired,ALP
138,,Margaret Joan Deahm,Macquarie,NSW,13.3.1993,,2.3.1996,defeated,ALP
139,,Arthur Gordon Dean,Herbert,Qld,10.12.1977,,5.3.1983,defeated,LIB
140,,Robert John Debus,Macquarie,NSW,24.11.2007,,21.8.2010,retired,ALP
142,,James Donald Mathieson Dobie,Cook,NSW,13.12.1975,,29.1.1996,retired,LIB
143,,James Donald Mathieson Dobie,Cook,NSW,25.10.1969,,2.12.1972,defeated,LIB
144,,James Donald Mathieson Dobie,Hughes,NSW,26.11.1966,,25.10.1969,elected_elsewhere,LIB
145,,Peter George Dodd,Leichhardt,Qld,13.3.1993,,2.3.1996,defeated,ALP
146,,Nicholas Manuel Dondas,Northern Territory,NT,2.3.1996,,3.10.1998,defeated,CLP
147,,Alexander John Gosse Downer,Mayo,SA,1.12.1984,,14.7.2008,resigned,LIB
148,,Patricia Draper,Makin,SA,2.3.1996,,17.10.2007,retired,LIB
149,,Mark Alfred Dreyfus,Isaacs,Vic,24.11.2007,,,still_in_office,ALP
150,,Peter Hertford Drummond,Forrest,WA,2.12.1972,,5.6.1987,retired,LIB
151,,Stephen Cairfield Dubois,St George,NSW,1.12.1984,,8.2.1993,retired,ALP
152,,Michael John Duffy,Holt,Vic.,18.10.1980,,29.1.1996,retired,ALP
153,,Peter Duncan,Makin,SA,1.12.1984,,2.3.1996,defeated,ALP
154,,Peter Craig Dutton,Dickson,Qld,10.11.2001,,3.5.2025,defeated,LIB
155,,Mary Louise Easson,Lowe,NSW,13.3.1993,,2.3.1996,defeated,ALP
156,,Graham John Edwards,Cowan,WA,3.10.1998,,17.10.2007,retired,ALP
157,,Harold Raymond Edwards,Berowra,NSW,2.12.1972,,8.2.1993,retired,LIB
158,,Ronald Frederick Edwards,Stirling,WA,5.3.1983,,13.3.1993,defeated,ALP
159,,Robert James Ellicott,Wentworth,NSW,18.5.1974,,17.2.1981,resigned,LIB
160,,Justine Elliot,Richmond,NSW,9.10.2004,,,still_in_office,ALP
161,,Robert Paul Elliott,Parramatta,NSW,24.3.1990,,2.3.1996,defeated,ALP
162,,Annette Louise Ellis,Canberra,ACT,3.10.1998,,21.8.2010,retired,ALP
163,,Katherine Margaret Ellis,Adelaide,SA,9.10.2004,,18.05.2019,retired,ALP
164,,Kay Selma Elson,Forde,Qld,2.3.1996,,17.10.2007,retired,LIB
165,,Craig Anthony Emerson,Rankin,Qld,3.10.1998,,5.8.2013,retired,ALP
166,,Warren George Entsch,Leichhardt,Qld,2.3.1996,,17.10.2007,retired,LIB
167,,Gareth John Evans,Holt,Vic.,2.3.1996,,30.9.1999,resigned,ALP
168,,Martyn John Evans,Bonython,SA,19.3.1994,by_election,9.10.2004,defeated,ALP
169,,Richard David Conroy Evans,Capricornia,Qld,10.12.1977,,26.10.1984,retired,ALP
170,,Richard David Conroy Evans,Cowan,WA,13.3.1993,,3.10.1998,defeated,LIB
171,,Paul Anthony Edward Everingham,Northern Territory,NT,1.12.1984,,5.6.1987,retired,LIB
172,,John Joseph Fahey,Macarthur,NSW,2.3.1996,,8.10.2001,retired,LIB
173,,Peter David Falconer,Casey,Vic.,13.12.1975,,5.3.1983,defeated,LIB
174,,Patrick Francis Farmer,Macarthur,NSW,10.11.2001,,21.8.2010,retired,LIB
175,,Wendy Frances Fatin,Brand,WA,1.12.1984,,29.1.1996,retired,ALP
176,,Wendy Frances Fatin,Canning,WA,5.3.1983,,1.12.1984,elected_elsewhere,ALP
177,,David Julian Fawcett,Wakefield,SA,9.10.2004,,24.11.2007,defeated,LIB
178,,Laurie Donald Thomas Ferguson,Reid,NSW,24.3.1990,,21.8.2010,elected_elsewhere,ALP
