member count,person count,title,last name,first name,middle name,nick name,post title,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
60,,,Brown,Joseph,Tilley,,,representatives,Indi,Vic.,12.12.1906,,13.4.1910,defeated,ANTI-SOC
62,74,,Brown,Robert,James,,,representatives,Charlton,NSW,1.12.1984,,31.8.1998,retired,ALP
63,74,,Brown,Robert,James,,,representatives,Hunter,NSW,18.10.1980,,1.12.1984,elected_elsewhere,ALP
27,696,,Brown,Robert,James,,,senate,,Tas.,1.7.1996,,,still_in_office,GRN
# TODO: We're also missing Neil Anthony Brown QC
28,,,Brownhill,David,Gordon Cadell,,,senate,,NSW,1.12.1984,,14.4.2000,resigned,NPA
64,,,Brumby,John,Mansfield,,,representatives,Bendigo,Vic.,5.3.1983,,24.3.1990,defeated,ALP
65,,,Bryant,Gordon,Munro,,,representatives,Wills,Vic.,10.12.1955,,19.9.1980,retired,ALP
29,,,Buckland,Geoffrey,Frederick,,,senate,,SA,14.9.2000,section_15,30.6.2005,retired,ALP
66,,,Bungey,Melville,Harold,,,representatives,Canning,WA,18.5.1974,,5.3.1983,defeated,LIB
67,,Ms,Burke,Anna,Elizabeth,,,representatives,Chisholm,Vic.,3.10.1998,,11.2.2008,changed_party,ALP
68,,Ms,Burke,Anna,Elizabeth,,,representatives,Chisholm,Vic.,12.2.2008,changed_party, ,still_in_office,CWM
69,,Mr,Burke,Anthony,Stephen,,,representatives,Watson,NSW,9.10.2004,, ,still_in_office,ALP
30,,,Burns,Bryant,Robert,,,senate,,Qld,11.7.1987,,30.6.1996,retired,ALP
70,,,Burns,William,George,,,representatives,Isaacs,Vic.,10.12.1977,,18.10.1980,defeated,LIB
71,,,Burr,Maxwell,Arthur,,,representatives,Lyons,Tas.,1.12.1984,,8.2.1993,retired,LIB
72,,,Burr,Maxwell,Arthur,,,representatives,Wilmot,Tas.,13.12.1975,,1.12.1984,elected_elsewhere,LIB
31,,,Bushby,David,Christopher,,,senate,,SA,30.8.2007,section_15,,still_in_office,LIB
73,,,Butler,Mark,Christopher,,,representatives,Port Adelaide,SA,24.11.2007,,,still_in_office,ALP
32,,,Button,John,Norman,,,senate,,Vic.,18.5.1974,,31.3.1993,resigned,ALP
74,,,Byrne,Anthony,Michael,,,representatives,Holt,Vic.,6.11.1999,by_election, ,still_in_office,ALP
76,,,Cadman,Alan,Glyndwr,,,representatives,Mitchell,NSW,18.5.1974,,17.10.2007,retired,LIB
77,,,Calder,Stephen,Edward,,,representatives,Northern Territory,NT,26.11.1966,,19.9.1980,retired,NCP
33,,,Calvert,Paul,Henry,,,senate,,Tas.,11.7.1987,,29.8.2007,resigned,LIB
78,,,Cameron,Clyde,Robert,,,representatives,Hindmarsh,SA,10.12.1949,,19.9.1980,retired,ALP
79,,,Cameron,Donald,Milner,,,representatives,Fadden,Qld,10.12.1977,,5.3.1983,defeated,LIB
80,,,Cameron,Donald,Milner,,,representatives,Griffith,Qld,26.11.1966,,10.12.1977,elected_elsewhere,LIB
