"The Hon Kevin Rudd, MP",14/12/2011,03/05/2012,Minister for Foreign Affairs
"The Hon Stephen Smith, MP",14/12/2011,03/05/2012,Minister for Defence
"The Hon Stephen Smith, MP",14/12/2011,03/05/2012,Deputy Leader of the House
"The Hon Chris Bowen, MP",14/12/2011,03/05/2012,Minister for Immigration and Citizenship
"The Hon Anthony Albanese, MP",14/12/2011,03/05/2012,Minister for Infrastructure and Transport
"The Hon Anthony Albanese, MP",14/12/2011,03/05/2012,Leader of the House
"The Hon Nicola Roxon, MP",14/12/2011,03/05/2012,Attorney-General
"The Hon Jenny Macklin, MP",14/12/2011,03/05/2012,"Minister for Families, Community Services and Indigenous Affairs"
"The Hon Jenny Macklin, MP",14/12/2011,03/05/2012,Minister for Disability Reform
"The Hon Tony Burke, MP",14/12/2011,03/05/2012,"Minister for Sustainability, Environment, Water, Population and Communities"
Senator the Hon Penny Wong,14/12/2011,03/05/2012,Minister for Finance and Deregulation
"The Hon Peter Garrett, AM, MP",14/12/2011,03/05/2012,"Minister for School Education, Early Childhood and Youth"
"The Hon Robert McClelland, MP",14/12/2011,03/05/2012,Minister for Housing
"The Hon Robert McClelland, MP",14/12/2011,03/05/2012,Minister for Homelessness
"The Hon Robert McClelland, MP",14/12/2011,03/05/2012,Minister for Emergency Management
"The Hon Robert McClelland, MP",14/12/2011,03/05/2012,Vice-President of the Executive Council
Senator the Hon Joseph Ludwig,14/12/2011,03/05/2012,"Minister for Agriculture, Fisheries and Forestry"
Senator the Hon Joseph Ludwig,14/12/2011,03/05/2012,Minister Assisting on Queensland Floods Recovery
"The Hon Martin Ferguson, MP",14/12/2011,03/05/2012,Minister for Resources and Energy
"The Hon Martin Ferguson, MP",14/12/2011,03/05/2012,Minister for Tourism
"The Hon Dr Craig Emerson, MP",14/12/2011,03/05/2012,Minister for Trade
"The Hon Greg Combet, AM, MP",14/12/2011,03/05/2012,Minister for Climate Change and Energy Efficiency
"The Hon Greg Combet, AM, MP",14/12/2011,03/05/2012,Minister for Industry and Innovation
"The Hon Tanya Plibersek, MP",14/12/2011,03/05/2012,Minister for Health
"The Hon Bill Shorten, MP",14/12/2011,03/05/2012,Minister for Employment and Workplace Relations
"The Hon Bill Shorten, MP",14/12/2011,03/05/2012,Minister for Financial Services and Superannuation
"The Hon Mark Butler, MP",14/12/2011,03/05/2012,Minister for Mental Health and Ageing
"The Hon Mark Butler, MP",14/12/2011,03/05/2012,Minister for Social Inclusion
"The Hon Mark Butler, MP",14/12/2011,03/05/2012,Minister Assisting the Prime Minister on Mental Health Reform
"The Hon Brendan O'Connor, MP",14/12/2011,03/05/2012,Minister for Human Services
"The Hon Brendan O'Connor, MP",14/12/2011,03/05/2012,Minister Assisting for School Education
Senator the Hon Kim Carr,14/12/2011,03/05/2012,Minister for Manufacturing
Senator the Hon Kim Carr,14/12/2011,03/05/2012,Minister for Defence Materiel
Senator the Hon Mark Arbib,14/12/2011,03/05/2012,Assistant Treasurer
Senator the Hon Mark Arbib,14/12/2011,03/05/2012,Minister for Small Business
Senator the Hon Mark Arbib,14/12/2011,03/05/2012,Minister for Sport
Senator the Hon Mark Arbib,14/12/2011,03/05/2012,Manager of Government Business in the Senate
"The Hon Kate Ellis, MP",14/12/2011,03/05/2012,Minister for Employment Participation
"The Hon Kate Ellis, MP",14/12/2011,03/05/2012,Minister for Early Childhood and Childcare
"The Hon Warren Snowdon, MP",14/12/2011,03/05/2012,Minister for Veterans' Affairs 
"The Hon Warren Snowdon, MP",14/12/2011,03/05/2012,Minister for Defence Science and Personnel
"The Hon Warren Snowdon, MP",14/12/2011,03/05/2012,Minister for Indigenous Health
"The Hon Warren Snowdon, MP",14/12/2011,03/05/2012,Minister Assisting the Prime Minister on the Centenary of ANZAC
"The Hon Gary Gray, AO, MP",14/12/2011,03/05/2012,Special Minister of State
"The Hon Gary Gray, AO, MP",14/12/2011,03/05/2012,Minister for the Public Service and Integrity
"The Hon Jason Clare, MP",14/12/2011,03/05/2012,Minister for Home Affairs 
"The Hon Jason Clare, MP",14/12/2011,03/05/2012,Minister for Justice
"The Hon Julie Collins, MP",14/12/2011,03/05/2012,Minister for Community Services 
"The Hon Julie Collins, MP",14/12/2011,03/05/2012,Minister for Indigenous Employment and Economic Development 
"The Hon Julie Collins, MP",14/12/2011,03/05/2012,Minister for the Status of Women
"The Hon Justine Elliot, MP",14/12/2011,03/05/2012,Parliamentary Secretary for Trade
"The Hon Mike Kelly, AM, MP",14/12/2011,03/05/2012,Parliamentary Secretary for Defence
The Hon Richard Marles,14/12/2011,03/05/2012,Parliamentary Secretary for Pacific Island Affairs
Senator the Hon Jan McLucas,14/12/2011,03/05/2012,Parliamentary Secretary for Disabilities and Carers
"The Hon David Bradbury, MP",14/12/2011,03/05/2012,Parliamentary Secretary to the Treasurer
Senator the Hon Jacinta Collins,14/12/2011,03/05/2012,Parliamentary Secretary for School Education and Workplace Relations
"The Hon Mark Dreyfus, QC, MP",14/12/2011,03/05/2012,Cabinet Secretary
"The Hon Mark Dreyfus, QC, MP",14/12/2011,03/05/2012,Parliamentary Secretary for Climate Change and Energy Efficiency
"The Hon Mark Dreyfus, QC, MP",14/12/2011,03/05/2012,Parliamentary Secretary for Industry and Innovation
Senator the Hon Don Farrell,14/12/2011,03/05/2012,Parliamentary Secretary for Sustainability and Urban Water
Senator the Hon David Feeney,14/12/2011,03/05/2012,Parliamentary Secretary for Defence
"The Hon Catherine King, MP",14/12/2011,03/05/2012,Parliamentary Secretary for Health and Ageing
"The Hon Catherine King, MP",14/12/2011,03/05/2012,Parliamentary Secretary for Infrastructure and Transport
Senator the Hon Kate Lundy,14/12/2011,03/05/2012,Parliamentary Secretary to the Prime Minister
Senator the Hon Kate Lundy,14/12/2011,03/05/2012,Parliamentary Secretary for Immigration and Multicultural Affairs
"The Hon Sid Sidebottom, MP",14/12/2011,03/05/2012,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"The Hon Julia Gillard, MP",03/05/2012,28/10/2012,Prime Minister
"The Hon Wayne Swan, MP",03/05/2012,28/10/2012,Treasurer
"The Hon Wayne Swan, MP",03/05/2012,28/10/2012,Deputy Prime Minister
Senator the Hon Chris Evans,03/05/2012,28/10/2012,"Minister for Tertiary Education, Skills, Science and Research"
Senator the Hon Chris Evans,03/05/2012,28/10/2012,Leader of the Government in the Senate
Senator the Hon Stephen Conroy,03/05/2012,28/10/2012,"Minister for Broadband, Communications and the Digital Economy"
Senator the Hon Stephen Conroy,03/05/2012,28/10/2012,Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy,03/05/2012,28/10/2012,Deputy Leader of the Government in the Senate
"The Hon Simon Crean, MP",03/05/2012,28/10/2012,"Minister for Regional Australia, Regional Development and Local Government"
"The Hon Simon Crean, MP",03/05/2012,28/10/2012,Minister for the Arts
"The Hon Stephen Smith, MP",03/05/2012,28/10/2012,Minister for Defence
"The Hon Stephen Smith, MP",03/05/2012,28/10/2012,Deputy Leader of the House
"The Hon Chris Bowen, MP",03/05/2012,28/10/2012,Minister for Immigration and Citizenship
"The Hon Anthony Albanese, MP",03/05/2012,28/10/2012,Minister for Infrastructure and Transport
"The Hon Anthony Albanese, MP",03/05/2012,28/10/2012,Leader of the House
"The Hon Nicola Roxon, MP",03/05/2012,28/10/2012,Attorney-General
"The Hon Nicola Roxon, MP",03/05/2012,28/10/2012,Minister for Emergency Management
"The Hon Jenny Macklin, MP",03/05/2012,28/10/2012,"Minister for Families, Community Services and Indigenous Affairs"
"The Hon Jenny Macklin, MP",03/05/2012,28/10/2012,Minister for Disability Reform
Senator the Hon Bob Carr,13/03/2012,28/10/2012,Minister for Foreign Affairs
"The Hon Kevin Rudd, MP",03/05/2012,13/03/2012,Minister for Foreign Affairs
"The Hon Tony Burke, MP",03/05/2012,28/10/2012,"Minister for Sustainability, Environment, Water, Population and Communities"
"The Hon Tony Burke, MP",03/05/2012,28/10/2012,Vice-President of the Executive Council
Senator the Hon Penny Wong,03/05/2012,28/10/2012,Minister for Finance and Deregulation
"The Hon Peter Garrett, AM, MP",03/05/2012,28/10/2012,"Minister for School Education, Early Childhood and Youth"
Senator the Hon Joseph Ludwig,03/05/2012,28/10/2012,"Minister for Agriculture, Fisheries and Forestry"
Senator the Hon Joseph Ludwig,03/05/2012,28/10/2012,Minister Assisting on Queensland Floods Recovery
"The Hon Martin Ferguson, MP",03/05/2012,28/10/2012,Minister for Resources and Energy
"The Hon Martin Ferguson, MP",03/05/2012,28/10/2012,Minister for Tourism
"The Hon Dr Craig Emerson, MP",03/05/2012,28/10/2012,Minister for Trade and Competitiveness
"The Hon Greg Combet, AM, MP",03/05/2012,28/10/2012,Minister for Climate Change and Energy Efficiency
"The Hon Greg Combet, AM, MP",03/05/2012,28/10/2012,Minister for Industry and Innovation
"The Hon Tanya Plibersek, MP",03/05/2012,28/10/2012,Minister for Health
"The Hon Bill Shorten, MP",03/05/2012,28/10/2012,Minister for Employment and Workplace Relations
"The Hon Bill Shorten, MP",03/05/2012,28/10/2012,Minister for Financial Services and Superannuation
"The Hon Mark Butler, MP",03/05/2012,28/10/2012,Minister for Mental Health and Ageing
"The Hon Mark Butler, MP",03/05/2012,28/10/2012,Minister for Social Inclusion
"The Hon Mark Butler, MP",03/05/2012,28/10/2012,Minister Assisting the Prime Minister on Mental Health Reform
"The Hon Brendan O'Connor, MP",03/05/2012,28/10/2012,Minister for Housing
"The Hon Brendan O'Connor, MP",03/05/2012,28/10/2012,Minister for Homelessness
"The Hon Brendan O'Connor, MP",03/05/2012,28/10/2012,Minister for Emergency Management
Senator the Hon Kim Carr,03/05/2012,28/10/2012,Minister for Human Services
"The Hon Kate Ellis, MP",03/05/2012,28/10/2012,Minister for Early Childhood and Childcare
"The Hon Kate Ellis, MP",03/05/2012,28/10/2012,Minister for Employment Participation
"The Hon Warren Snowdon, MP",03/05/2012,28/10/2012,Minister for Veterans' Affairs 
"The Hon Warren Snowdon, MP",03/05/2012,28/10/2012,Minister for Defence Science and Personnel
"The Hon Warren Snowdon, MP",03/05/2012,28/10/2012,Minister for Indigenous Health
"The Hon Warren Snowdon, MP",03/05/2012,28/10/2012,Minister Assisting the Prime Minister on the Centenary of ANZAC
"The Hon Gary Gray, AO, MP",03/05/2012,28/10/2012,Special Minister of State
"The Hon Gary Gray, AO, MP",03/05/2012,28/10/2012,Minister for the Public Service and Integrity
"The Hon Jason Clare, MP",03/05/2012,28/10/2012,Minister for Home Affairs 
"The Hon Jason Clare, MP",03/05/2012,28/10/2012,Minister for Justice
"The Hon Jason Clare, MP",03/05/2012,28/10/2012,Minister for Defence Materiel
"The Hon Julie Collins, MP",03/05/2012,28/10/2012,Minister for Community Services 
"The Hon Julie Collins, MP",03/05/2012,28/10/2012,Minister for Indigenous Employment and Economic Development 
"The Hon Julie Collins, MP",03/05/2012,28/10/2012,Minister for the Status of Women
"The Hon David Bradbury, MP",03/05/2012,28/10/2012,Assistant Treasurer 
"The Hon David Bradbury, MP",03/05/2012,28/10/2012,Minister Assisting for Deregulation
Senator the Hon Kate Lundy,03/05/2012,28/10/2012,Minister for Sport 
Senator the Hon Kate Lundy,03/05/2012,28/10/2012,Minister for Multicultural Affairs 
Senator the Hon Kate Lundy,03/05/2012,28/10/2012,Minister Assisting for Industry and Innovation
"The Hon Justine Elliot, MP",03/05/2012,28/10/2012,Parliamentary Secretary for Trade
"The Hon Mike Kelly, AM, MP",03/05/2012,28/10/2012,Parliamentary Secretary for Defence
The Hon Richard Marles,03/05/2012,28/10/2012,Parliamentary Secretary for Foreign Affairs
The Hon Richard Marles,03/05/2012,28/10/2012,Parliamentary Secretary for Pacific Island Affairs
Senator the Hon Jan McLucas,03/05/2012,28/10/2012,Parliamentary Secretary to the Prime Minister
Senator the Hon Jan McLucas,03/05/2012,28/10/2012,Parliamentary Secretary for Disabilities and Carers
Senator the Hon Jacinta Collins,03/05/2012,28/10/2012,Parliamentary Secretary for School Education and Workplace Relations
Senator the Hon Jacinta Collins,03/05/2012,28/10/2012,Manager of Government Business in the Senate
"The Hon Mark Dreyfus, QC, MP",03/05/2012,28/10/2012,Cabinet Secretary
"The Hon Mark Dreyfus, QC, MP",03/05/2012,28/10/2012,Parliamentary Secretary for Climate Change and Energy Efficiency
"The Hon Mark Dreyfus, QC, MP",03/05/2012,28/10/2012,Parliamentary Secretary for Industry and Innovation
Senator the Hon Don Farrell,03/05/2012,28/10/2012,Parliamentary Secretary for Sustainability and Urban Water
Senator the Hon David Feeney,03/05/2012,28/10/2012,Parliamentary Secretary for Defence
"The Hon Catherine King, MP",03/05/2012,28/10/2012,Parliamentary Secretary for Health and Ageing
"The Hon Catherine King, MP",03/05/2012,28/10/2012,Parliamentary Secretary for Infrastructure and Transport
"The Hon Sid Sidebottom, MP",03/05/2012,28/10/2012,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"The Hon Bernie Ripoll, MP",03/05/2012,28/10/2012,Parliamentary Secretary to the Treasurer
"The Hon Sharon Bird, MP",03/05/2012,28/10/2012,Parliamentary Secretary for Higher Education and Skills
"The Hon Julia Gillard, MP",28/10/2012,02/04/2013,Prime Minister
"The Hon Wayne Swan, MP",28/10/2012,02/04/2013,Treasurer
"The Hon Wayne Swan, MP",28/10/2012,02/04/2013,Deputy Prime Minister
Senator the Hon Chris Evans,28/10/2012,02/04/2013,"Minister for Tertiary Education, Skills, Science and Research"
Senator the Hon Chris Evans,28/10/2012,02/04/2013,Leader of the Government in the Senate
Senator the Hon Stephen Conroy,28/10/2012,02/04/2013,"Minister for Broadband, Communications and the Digital Economy"
Senator the Hon Stephen Conroy,28/10/2012,02/04/2013,Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy,28/10/2012,02/04/2013,Deputy Leader of the Government in the Senate
"The Hon Simon Crean, MP",28/10/2012,02/04/2013,"Minister for Regional Australia, Regional Development and Local Government"
"The Hon Simon Crean, MP",28/10/2012,02/04/2013,Minister for the Arts
"The Hon Stephen Smith, MP",28/10/2012,02/04/2013,Minister for Defence
