Name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
"Gorman, Russell Neville Joseph",Chifley,NSW,5.3.1983,,Until elected for Greenway,elected_elsewhere,ALP
,Greenway,NSW,1.12.1984,,29.1.1996,retired,ALP
"Grace, Edward Laurence",Fowler,NSW,1.12.1984,,31.8.1998,retired,ALP
"Grace, Elizabeth Jane",Lilley,Qld,2.3.1996,,3.10.1998,defeated,LIB
"Graham, Bruce William",St George,NSW,10.12.1949,,29.5.1954,defeated,LIB
,St George,NSW,10.12.1955,,22.11.1958,defeated,LIB
,North Sydney,NSW,26.11.1966,,19.9.1980,retired,LIB
"Grierson, Sharon Joy",Newcastle,NSW,10.11.2001,, ,current_member,ALP
"Griffin, Alan Peter",Corinella,Vic.,13.3.1993,,Until elected for Bruce,elected_elsewhere,ALP
,Bruce,Vic.,2.3.1996,, ,current_member,ALP
"Griffiths, Alan Gordon",Maribyrnong,Vic.,5.3.1983,,29.1.1996,retired,ALP
"Groom, Raymond John",Braddon,Tas.,13.12.1975,,26.10.1984,retired,LIB
"Haase, Barry Wayne",Kalgoorlie,WA,3.10.1998,, ,current_member,LIB
"Hall, Jill Griffiths",Shortland,NSW,3.10.1998,, ,current_member,ALP
"Hall, Raymond Steele",Boothby,SA,21.2.1981,by_election,29.1.1996,retired,LIB
"Halverson, Robert George",Casey,Vic.,1.12.1984,,31.8.1998,retired,LIB
"Hand, Gerard Leslie",Melbourne,Vic.,5.3.1983,,8.2.1993,retired,ALP
"Hanson, Pauline Lee",Oxley,Qld,2.3.1996,,3.10.1998,defeated,PHON
"Hardgrave, Gary Douglas",Moreton,Qld,2.3.1996,, ,current_member,LIB
"Harris, Graham McDonald",Chisholm,Vic.,18.10.1980,,5.3.1983,defeated,LIB
"Hartsuyker, Luke",Cowper,NSW,10.11.2001,, ,current_member,NP
"Harvey, Elizabeth Robyn",Hawker,SA,11.7.1987,,24.3.1990,defeated,ALP
"Haslem, John Whitton",Canberra,ACT,13.12.1975,,18.10.1980,defeated,LIB
"Hatton, Michael John",Blaxland,NSW,15.6.1996,by_election,17.10.2007,retired,ALP
"Haviland, Christopher Douglas",Macarthur,NSW,13.3.1993,,29.1.1996,retired,ALP
"Hawke, Robert James Lee",Wills,Vic.,18.10.1980,,20.2.1992,resigned,ALP
"Hawker, David Peter Maxwell",Wannon,Vic.,7.5.1983,by_election, ,current_member,LIB
"Hayden, William George",Oxley,Qld,9.12.1961,,17.8.1988,resigned,ALP
"Hayes, Christopher Patrick",Werriwa,NSW,19.3.2005,by_election, ,current_member,ALP
"Henry, Stuart Irwin",Hasluck,WA,9.10.2004,, ,current_member,LIB
"Henzell, Marjorie Madeline",Capricornia,Qld,13.3.1993,,2.3.1996,defeated,ALP
"Hewson, John Robert",Wentworth,NSW,11.7.1987,,28.2.1995,resigned,LIB
"Hicks, Noel Jeffrey",Riverina,NSW,18.10.1980,,Until elected for Riverina-Darling,elected_elsewhere,NPA
,Riverina-Darling,NSW,1.12.1984,,Until elected for Riverina,elected_elsewhere,NPA
,Riverina,NSW,13.3.1993,,31.8.1998,retired,NPA
"Hoare, Kelly Joy",Charlton,NSW,3.10.1998,,17.10.2007,retired,ALP
"Hockey, Joseph Benedict",North Sydney,NSW,2.3.1996,, ,current_member,LIB
"Hodges, John Charles",Petrie,Qld,18.5.1974,,5.3.1983,defeated,LIB
,Petrie,Qld,1.12.1984,,11.7.1987,defeated,LIB
"Hodgman, William Michael",Denison,Tas.,13.12.1975,,11.7.1987,defeated,LIB
"Holding, Allan Clyde",Melbourne Ports,Vic.,10.12.1977,,31.8.1998,retired,ALP
"Hollis, Colin",Macarthur,NSW,5.3.1983,,Until elected for Throsby,elected_elsewhere,ALP
,Throsby,NSW,1.12.1984,,8.10.2001,retired,ALP
"Horne, Robert Hodges",Paterson,NSW,13.3.1993,,2.3.1996,defeated,ALP
,Paterson,NSW,3.10.1998,,10.11.2001,defeated,ALP
"Howard, John Winston",Bennelong,NSW,18.5.1974,, ,current_member,LIB
"Howe, Brian Leslie",Batman,Vic.,10.12.1977,,29.1.1996,retired,ALP
"Hull, Kay Elizabeth",Riverina,NSW,3.10.1998,, ,current_member,NPA
"Hulls, Rob Justin",Kennedy,Qld,24.3.1990,,13.3.1993,defeated,ALP
