member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
174,,Warwick Raymond Parer,,Qld,22.11.1984 ,section_15,11.2.2000 ,resigned,LIB
175,,Stephen Shane Parry,,Tas.,1.7.2005,,3.7.2011,changed_party,LIB
177,,Marise Ann Payne,,NSW,9.4.1997,section_15,30.9.2023,resigned,LIB
178,,Helen Beatrice Polley,,Tas.,1.7.2005,,,still_in_office,ALP
179,,Janet Frances Powell,,Vic.,26.8.1986 ,section_15,30.6.1993 ,defeated,IND
180,,Cyril Graham Primmer,,Vic.,1.7.1971 ,,30.6.1985 ,retired,ALP
181,,Christopher John Guelph Puplick,,NSW,26.7.1978 ,,30.6.1981 ,defeated,LIB
182,,Christopher John Guelph Puplick,,NSW,1.12.1984 ,,30.6.1990 ,defeated,LIB
183,,John Andrew Quirke,,SA,18.9.1997 ,section_15,15.8.2000 ,resigned,ALP
184,,Peter Elliot Rae,,Tas.,1.7.1968 ,,16.1.1986 ,resigned,LIB
185,,Robert Francis Ray,,Vic.,1.7.1981,,5.5.2008,retired,ALP
186,,Margaret Elizabeth Reid,,ACT,5.5.1981,section_15,20.08.1996,changed_party,LIB
273,,Margaret Elizabeth Reid,,ACT,20.08.1996,changed_party,18.08.2002,changed_party,PRES
274,,Margaret Elizabeth Reid,,ACT,18.08.2002,changed_party,14.2.2003,resigned,LIB
187,,Margaret Reynolds,,Qld,5.3.1983 ,,30.6.1999 ,retired,ALP
188,,Graham Frederick Richardson,,NSW,5.3.1983 ,,25.3.1994 ,resigned,ALP
189,,Aden Derek Ridgeway,,NSW,1.7.1999,,30.6.2005,defeated,AD
190,,Edward Albert Robertson,,NT,13.12.1975 ,,5.6.1987 ,retired,ALP
191,,Allan Charles Rocher,,WA,1.7.1978 ,,10.2.1981 ,resigned,LIB
192,,Michael John Clyde Ronaldson,,Vic.,1.7.2005,,28.2.2016,resigned,LIB
193,,Susan Maree Ryan,,ACT,13.12.1975 ,,29.1.1988 ,resigned,ALP
194,,Norman Karl Sanders,,Tas.,1.7.1985 ,,1.3.1990 ,resigned,AD
195,,Santo Santoro,,QLD,29.10.2002 ,section_15,11.4.2007 ,resigned,LIB
196,,Christopher Cleland Schacht,,SA,11.7.1987 ,,30.6.2002 ,defeated,ALP
197,,Douglas Barr Scott,,NSW,6.8.1970 ,section_15,20.11.1970 ,term expired ,NPA
198,,Douglas Barr Scott,,NSW,18.5.1974 ,,30.6.1985 ,retired,NPA
199,,Nigel Gregory Scullion,,NT,10.11.2001 ,,1.7.2019,retired,CLP
200,,Glenister Sheil,,Qld,1.12.1984 ,,30.6.1990 ,defeated,NCP
201,,Glenister Sheil,,Qld,18.5.1974 ,,6.2.1981 ,resigned ,NCP
202,,Nicholas John Sherry,,Tas.,1.7.1990,,01.06.2012,resigned,ALP
203,,James Robert Short,,Vic.,1.12.1984 ,,12.5.1997 ,resigned,LIB
