Name,State,Party,Start of service,Start reason,End of service,End reason
"O'Byrne, Justin Hilary",Tas.,ALP,1.7.1947 ,,30.6.1981 ,retired
"O'Chee, William George",Qld,NPA,8.5.1990 ,section_15,30.6.1999 ,defeated
"Panizza, John Horace",WA,LIB,11.7.1987 ,,31.1.1997 ,died
"Parer, Warwick Raymond",Qld,LIB,22.11.1984 ,section_15,11.2.2000 ,resigned
"Parry, Stephen Shane",Tas.,LIB,1.7.2005,,,
"Patterson, Kay Christine Lesley",Vic.,LIB,11.7.1987,,,
"Payne, Marise Ann",NSW,LIB,9.4.1997,section_15,,
"Polley, Helen Beatrice ",Tas.,ALP,1.7.2005,,,
"Powell, Janet Frances",Vic.,IND,26.8.1986 ,section_15,30.6.1993 ,defeated
"Primmer, Cyril Graham",Vic.,ALP,1.7.1971 ,,30.6.1985 ,retired
"Puplick, Christopher John Guelph",NSW,LIB,26.7.1978 ,,30.6.1981 ,defeated
"Puplick, Christopher John Guelph",NSW,LIB,1.12.1984 ,,30.6.1990 ,defeated
"Quirke, John Andrew",SA,ALP,18.9.1997 ,section_15,15.8.2000 ,resigned
"Rae, Peter Elliot",Tas.,LIB,1.7.1968 ,,16.1.1986 ,resigned
"Ray, Robert Francis",Vic.,ALP,1.7.1981 ,,,
"Reid, Margaret Elizabeth",ACT,LIB,5.5.1981 ,section_15,14.2.2003 ,resigned
"Reynolds, Margaret",Qld,ALP,5.3.1983 ,,30.6.1999 ,retired
"Richardson, Graham Frederick",NSW,ALP,5.3.1983 ,,25.3.1994 ,resigned
"Ridgeway, Aden Derek",NSW,AD,1.7.1999,,2005 ,defeated
"Robertson, Edward Albert",NT,ALP,13.12.1975 ,,5.6.1987 ,retired
"Rocher, Allan Charles",WA,LIB,1.7.1978 ,,10.2.1981 ,resigned
"Ronaldson, Michael John Clyde",Vic.,LIB,1.7.2005,,,
"Ryan, Susan Maree",ACT,ALP,13.12.1975 ,,29.1.1988 ,resigned
"Sanders, Norman Karl",Tas.,AD,1.7.1985 ,,1.3.1990 ,resigned
"Santoro, Santo ",QLD,LIB,29.10.2002 ,section_15,11.4.2007 ,resigned
"Schacht, Christopher Cleland",SA,ALP,11.7.1987 ,,30.6.2002 ,defeated
"Scott, Douglas Barr",NSW,NPA,6.8.1970 ,section_15,20.11.1970 ,term expired 
"Scott, Douglas Barr",NSW,NPA,18.5.1974 ,,30.6.1985 ,retired
"Scullion, Nigel Gregory",NT,CLP,10.11.2001 ,,,
"Sheil, Glenister",Qld,NCP,1.12.1984 ,,30.6.1990 ,defeated
"Sheil, Glenister",Qld,NCP,18.5.1974 ,,6.2.1981 ,resigned 
"Sherry, Nicholas John",Tas.,ALP,1.7.1990,,,
"Short, James Robert",Vic.,LIB,1.12.1984 ,,12.5.1997 ,resigned
"Sibraa, Kerry Walter",NSW,ALP,9.8.1978 ,section_15,1.2.1994 ,resigned
"Sibraa, Kerry Walter",NSW,ALP,13.12.1975 ,,30.6.1978,
"Siddons, John Royston",Vic.,UNITE AP,1.7.1981 ,,4.2.1983 ,defeated
"Siddons, John Royston",Vic.,UNITE AP,1.7.1985 ,,5.6.1987 ,defeated
"Siewert, Rachel Mary",WA,GRN,1.7.2005 ,,,
"Sim, John Peter",WA,LIB,26.11.1964,section_15,30.6.1981 ,retired
"Sowada, Karin Nicole",NSW,AD,29.8.1991 ,section_15,30.6.1993 ,defeated
"Spindler, Sid",Vic.,AD,1.7.1990 ,,30.6.1996 ,retired
"Stephens, Ursula Mary",NSW,ALP,1.7.2002 ,,,
"Sterle, Glenn ",WA,ALP,1.7.2005 ,,,
"Stone, John Owen",Qld,NPA,11.7.1987 ,,1.3.1990 ,resigned
"Stott Despoja, Natasha Jessica",SA,AD,29.11.1995,section_15,,
"Sullivan, Kathryn Jean",Qld,LIB,18.5.1974 ,,5.11.1984 ,resigned
"Synon, Karen Margaret",Vic.,LIB,13.5.1997 ,section_15,30.6.1999 ,defeated
"Tambling, Grant Ernest John",NT,CLP,11.7.1987 ,,9.11.2001 ,retired
"Tate, Michael Carter",Tas.,ALP,1.7.1978 ,,5.7.1993 ,resigned
"Tchen, Tsebin",Vic.,LIB,1.7.1999 ,,30.6.2005 ,retired
"Teague, Baden Chapman",SA,LIB,1.7.1978 ,,30.6.1996 ,retired
"Thomas, Andrew Murray",WA,LIB,13.12.1975 ,,4.2.1983 ,defeated
"Tierney, John William",NSW,LIB,11.2.1991 ,section_15,14.4.2005 ,resigned
"Townley, Michael",Tas.,IND,1.7.1971 ,,5.6.1987 ,retired
"Troeth, Judith Mary",Vic.,LIB,1.7.1993 ,,,
"Trood, Russell Brunell",Qld,LIB,1.7.2005 ,,,
"Vallentine, Josephine",WA,GWA,1.7.1985 ,,31.1.1992 ,resigned
"Vanstone, Amanda Eloise",SA,LIB,1.12.1984 ,,26.4.2007 ,resigned
"Vigor, David Bernard",SA,UNITE AP,1.12.1984 ,,5.6.1987 ,defeated
"Walsh, Peter Alexander",WA,ALP,18.5.1974 ,,30.6.1993 ,retired
"Walters, Mary Shirley",Tas.,LIB,13.12.1975 ,,30.6.1993 ,retired
"Watson, John Odin Wentworth",Tas.,LIB,1.7.1978 ,,,
"Webber, Ruth Stephanie",WA,ALP,1.7.2002 ,,,
"Webster, James Joseph",Vic.,NCP,9.12.1964 ,section_15,28.1.1980 ,resigned
"West, Suzanne Margaret",NSW,ALP,1.7.1990 ,,30.6.2002 ,retired
"West, Suzanne Margaret",NSW,ALP,11.2.1987 ,section_15,5.6.1987 ,defeated
"Wheeldon, John Murray",WA,ALP,1.7.1965 ,,30.6.1981 ,retired
"Wheelwright, Thomas Clive",NSW,ALP,24.5.1995 ,section_15,30.6.1996 ,defeated
"Withers, Reginald Greive",WA,LIB,17.2.1966 ,section_15,25.11.1966 ,term expired
"Withers, Reginald Greive",WA,LIB,1.7.1968 ,,5.6.1987 ,retired
"Wong, Penelope Ying Yen",SA,ALP,1.7.2002 ,,,
"Wood, William Robert",NSW,NDP,11.7.1987 ,,12.5.1988,disqualified
"Woodley, John",Qld,AD,1.7.1993 ,,27.7.2001 ,resigned
"Woods, Robert Leslie",NSW,LIB,8.3.1994 ,section_15,7.3.1997 ,resigned
"Wortley, Dana Johanna",SA,ALP,1.7.2005 ,,,
"Wriedt, Kenneth Shaw",Tas.,ALP,1.7.1968 ,,25.9.1980 ,resigned
"Young, Harold William",SA,LIB,1.7.1968 ,,4.2.1983 ,defeated
"Zakharov, Alice Olive",Vic.,ALP,5.3.1983 ,,6.3.1995 ,died
